Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180713,HR,HUMAN RESOURCES,HR MN653,HENRY STREET SETTLEMENT,C,2019,80000,0,0,0
20180713,FA,FERRIES & AVIATION,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",F,2019,1392328,33366000,5198000,4144000
20180713,HR,HUMAN RESOURCES,HR 0109,PURCHASE OF EQUIPMENT FOR USE BY HUMAN RESOURCES,C,2019,0,94330,194000,202000
20180713,PU,EDP EQUIP & FINANC COSTS,PU 0016,"PURCHASE OF ELECTRONIC DATA PROCESSING SOFTWARE, HARDWARE AND INFRA.",C,2019,77234140,156870000,129781000,104299000
20180713,PW,PUBLIC BUILDINGS,PW 0335,"ABATEMENT OF UNSAFE CONDITIONS ON CITY PROPERTY, CITYWIDE",C,2019,0,1101396,0,0
20180713,P ,PARKS,P  1327,SPRING CREEK AND FRESH CREEK PARKS,C,2019,8673000,0,0,0
20180713,BR,WATERWAY BRIDGES,BR 0287,RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER,C,2019,6414931,1566000,0,0
20180713,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0002,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",C,2019,0,0,0,9737675
20180713,HW,HIGHWAYS,HW 1672,GRAND CONCOURSE- LOU GEHRIG PLAZA,C,2019,566734,0,0,0
20180713,SE,SEWERS,SE 0002Q,"CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS, QNS.",E,2019,0,62442803,139517000,135791000
20180713,AG,DEPARTMENT FOR THE AGING,AG QN663,INDIA HOME INC.,C,2019,989000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 4146,"WEST TREMONT AVENUE BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",C,2019,0,47732172,29000,0
20180713,HL,HEALTH,HL KN201,NEW YORK BLOOD CENTER,C,2019,300000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 1120," RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",F,2019,0,76576000,0,0
20180713,P ,PARKS,P  MN510,NEW YORK RESTORATION PROJECT (NYRP),C,2019,90000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN394,SOUTH STREET SEAPORT MUSEUM,C,2019,2750000,0,0,0
20180713,HL,HEALTH,HL KN916,THE FLOATING HOSPITAL,C,2019,52000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV X176,"NEW YORK ZOOLOGICAL SOCIETY, IMPROVEMENTS, BRONX",C,2019,500000,0,0,0
20180713,P ,PARKS,P  0508,DPR OWNED BRIDGES CITYWIDE,C,2019,17699000,0,0,0
20180713,HH,HOMELESS SERVICES,HH 0115,CONGREGATE FACILITIES FOR HOMELESS FAMILIES,C,2019,6341271,57780000,16532000,39947000
20180713,HD,HOUSING & DEVELOPMENT,HD 0215,MULTIFAMILY HOMEOWNERSHIP PROGRAM,C,2019,42683743,1449000,1380000,1407000
20180713,HW,HIGHWAYS,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",S,2019,0,0,600000,5434000
20180713,P ,PARKS,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",F,2019,0,0,7454638,0
20180713,HR,HUMAN RESOURCES,HR DN01J,COUNCIL OF PEOPLES ORGANIZATION (COPO),C,2019,50000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0N686,"ANTHOLOGY FILM ARCHIVES, INC.",C,2019,1750000,0,0,0
20180713,P ,PARKS,P  0935,"SOUTH BEACH BOARDWALK, RECONSTRUCTION, S.I.",C,2019,2322000,0,0,0
20180713,FA,FERRIES & AVIATION,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",S,2019,30316750,7136000,0,1000000
20180713,PW,PUBLIC BUILDINGS,PW DN01H,THE DOOR - A CENTER OF ALTERNATIVES,C,2019,2750000,0,0,0
20180713,P ,PARKS,P  0933,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF PARKS AND RECREATION,C,2019,31186473,4871000,4870000,15988000
20180713,PV,CULTURAL INSTITUTIONS,PV MN123,"NEW YORK LIVE ARTS, INC. (FORMERLY DANCE THEATER WORKSHOP)",C,2019,100000,0,0,0
20180713,HD,HOUSING & DEVELOPMENT,HD D024,"CITY COUNCIL FUNDING FOR HOUSING PROGRAMS, THE BRONX",C,2019,6298000,0,0,0
20180713,LB,BROOKLYN PUBLIC LIBRARY,LB K001,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, BKLYN",C,2019,654000,0,0,0
20180713,PW,PUBLIC BUILDINGS,PW 0266,"125 WORTH STREET, MANHATTAN",C,2019,0,0,697331,0
20180713,HD,HOUSING & DEVELOPMENT,HD K020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, BROOKLYN",C,2019,2526000,0,0,0
20180713,P ,PARKS,P  0245M,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",C,2019,5716114,711000,7889000,716000
20180713,CO,COURTS,CO 0272,45 MONROE PL. - BROOKLYN APPELLATE DIVISION COURTHOUSE- 2ND DEPT.,C,2019,134998,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0N394,SOUTH STREET SEAPORT MUSEUM,C,2019,2800000,0,38021,0
20180713,HH,HOMELESS SERVICES,HH D025,"RECONSTRUCTION AND IMPROVEMENTS TO SHELTERS, CITYWIDE",C,2019,578000,0,0,0
20180713,ED,ECONOMIC DEVELOPMENT,ED D408,"MODERNIZATION, RECONSTRUCTION, MARKETS",C,2019,1658000,0,0,0
